X,Y,STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990
1989259.039188338909298,2698547.934197557158768,01047200,"Sandy River near Madrid, Maine",Ref,NorthEast,65.646000,01,44.857778,-70.485278,ME,,yes,1.000000,1.000000,1.000000
2035406.179552956018597,2694098.239487417973578,01048000,"Sandy River near Mercer, Maine",Non-ref,NorthEast,1339.138000,01,44.708169,-69.937592,ME,,yes,72.000000,52.000000,20.000000
2049471.734897630056366,2725766.400535399094224,01048220,"East Branch Wesserunsett Stream near Athens, Maine",Ref,NorthEast,49.389300,01,44.947500,-69.656944,ME,,yes,1.000000,1.000000,1.000000
2074984.953409362817183,2706347.421498200856149,01049000,"Sebasticook River near Pittsfield, Maine",Non-ref,NorthEast,1488.607000,01,44.716778,-69.413819,ME,,yes,80.000000,60.000000,20.000000
2061886.700977430911735,2674289.213697970844805,01049265,"KENNEBEC RIVER AT NORTH SIDNEY, MAINE",Non-ref,NorthEast,14014.810000,01,44.472339,-69.683989,ME,,yes,24.000000,24.000000,13.000000
2062090.216229117708281,2646171.009302711114287,01049500,"Cobbosseecontee Stream at Gardiner, Maine",Non-ref,NorthEast,561.314700,01,44.229097,-69.778047,ME,,yes,98.000000,48.000000,20.000000
1945120.890664051752537,2688810.069439710117877,01052500,"Diamond River near Wentworth Location, NH",Ref,NorthEast,383.823400,01,44.877394,-71.057494,NH,yes,yes,68.000000,60.000000,20.000000
1942428.135847741970792,2677157.12913428619504,01053500,"Androscoggin River at Errol, NH",Non-ref,NorthEast,2701.495000,01,44.782558,-71.128686,NH,,yes,103.000000,60.000000,20.000000
1941754.053361397236586,2663554.470723601989448,01053600,Androscoggin River below Bog Brook at Cambridge NH,Non-ref,NorthEast,3047.351000,01,44.666111,-71.181389,NH,,yes,1.000000,1.000000,1.000000
1947704.040431389119476,2638588.818075847811997,01054000,"Androscoggin River near Gorham, NH",Non-ref,NorthEast,3527.626000,01,44.435792,-71.190178,NH,,yes,89.000000,60.000000,20.000000
1965165.011559979524463,2638042.944678872823715,01054200,"Wild River at Gilead, Maine",Ref,NorthEast,180.981000,01,44.390444,-70.979644,ME,yes,yes,45.000000,45.000000,20.000000
1978143.22242000233382,2664966.191051979549229,01054300,"Ellis River at South Andover, Maine",Ref,NorthEast,337.729500,01,44.593242,-70.733017,ME,,yes,27.000000,27.000000,8.000000
1993803.23013505176641,2664463.696760247461498,01054500,"Androscoggin River at Rumford, Maine",Non-ref,NorthEast,5349.329000,01,44.551814,-70.544067,ME,,yes,108.000000,60.000000,20.000000
1987708.774087614612654,2673294.533062446862459,01055000,"Swift River near Roxbury, Maine",Ref,NorthEast,250.641000,01,44.642747,-70.588783,ME,yes,yes,80.000000,60.000000,20.000000
2026255.94703033962287,2640794.442673088051379,01055500,"Nezinscot River at Turner Center, Maine",Non-ref,NorthEast,439.505100,01,44.269506,-70.229606,ME,,yes,63.000000,55.000000,15.000000
2001447.943843465065584,2637928.42496014200151,01057000,"Little Androscoggin River near South Paris, Maine",Ref,NorthEast,190.918800,01,44.303992,-70.539681,ME,yes,yes,88.000000,60.000000,20.000000
2028975.883382705738768,2617758.056757762096822,01058500,"LITTLE ANDROSCOGGIN RIVER NEAR AUBURN, ME",Non-ref,NorthEast,851.433300,01,44.063872,-70.274069,ME,,,42.000000,33.000000,0.000000
2033805.398575545055792,2620075.138685768470168,01059000,"Androscoggin River near Auburn, Maine",Non-ref,NorthEast,8444.240000,01,44.072297,-70.208014,ME,,yes,80.000000,60.000000,20.000000
2030050.105215805117041,2601162.495344231836498,01059800,"Collyer Brook near Gray, Maine",Non-ref,NorthEast,35.314200,01,43.917894,-70.316597,ME,,,20.000000,20.000000,2.000000
2044268.924323158105835,2591365.546461836434901,01060000,"Royal River at Yarmouth, Maine",Non-ref,NorthEast,364.828500,01,43.799150,-70.178269,ME,,,55.000000,55.000000,15.000000
2022740.470524894539267,2587528.207398366183043,01064000,"PRESUMPSCOT RIVER AT OUTLET OF SEBAGO LAKE, ME",Non-ref,NorthEast,1145.668000,01,43.817528,-70.449936,ME,,,99.000000,51.000000,11.000000
2034564.227074144873768,2575684.796493389643729,01064118,"Presumpscot River at Westbrook, Maine",Non-ref,NorthEast,1554.034000,01,43.686997,-70.347136,ME,,,20.000000,20.000000,6.000000
1949395.465434914920479,2614029.768014156259596,01064300,"ELLIS RIVER NEAR JACKSON, NH",Ref,NorthEast,27.433800,01,44.218956,-71.249240,NH,,,40.000000,40.000000,15.000000
1959553.977378921583295,2599593.649522614665329,01064400,"LUCY BROOK NEAR NORTH CONWAY, NH",Ref,NorthEast,12.170700,01,44.070347,-71.172849,NH,,,27.000000,27.000000,2.000000
1968203.340807511005551,2592732.065476413816214,01064500,"Saco River near Conway, NH",Non-ref,NorthEast,993.696400,01,43.990842,-71.090478,NH,,yes,86.000000,60.000000,20.000000
1957573.229424061952159,2571331.71251526940614,01064801,"BEARCAMP RIVER AT SOUTH TAMWORTH, NH",Ref,NorthEast,173.400300,01,43.830074,-71.287849,NH,,yes,16.000000,16.000000,16.000000
1976280.169997382210568,2572291.558134100399911,01065000,"OSSIPEE RIVER AT EFFINGHAM FALLS, NH",Non-ref,NorthEast,855.258300,01,43.795075,-71.059234,NH,,,48.000000,41.000000,1.000000
1996158.440602575428784,2579120.815702189691365,01065500,"OSSIPEE RIVER AT CORNISH, ME",Non-ref,NorthEast,1172.306000,01,43.807708,-70.797578,ME,,,80.000000,47.000000,7.000000
1997389.179988212883472,2579493.400474863126874,01066000,"Saco River at Cornish, Maine",Non-ref,NorthEast,3354.558000,01,43.808039,-70.781539,ME,,yes,93.000000,60.000000,20.000000
2009456.034716653171927,2569065.835102359764278,01066500,"LITTLE OSSIPEE RIVER NEAR SOUTH LIMINGTON, ME",Non-ref,NorthEast,423.932400,01,43.689436,-70.670556,ME,,,42.000000,33.000000,0.000000
2026128.338133071549237,2543866.020016252994537,01067950,"Kennebunk River near Kennebunk, Maine",Ref,NorthEast,71.504100,01,43.432220,-70.553330,ME,,yes,1.000000,1.000000,1.000000
2012176.414940478047356,2538445.36514506302774,01068910,"Mousam River at Route 4 near Sanford, Maine",Non-ref,NorthEast,117.363600,01,43.418330,-70.738060,ME,,yes,1.000000,1.000000,1.000000
2018376.799628652166575,2540137.661328705027699,01069500,"MOUSAM RIVER NEAR WEST KENNEBUNK, ME",Non-ref,NorthEast,264.513600,01,43.418342,-70.658317,ME,,yes,45.000000,35.000000,0.000000
2025362.043423850089312,2537514.984865951351821,01069700,"Branch Brook near Kennebunk, Maine",Non-ref,NorthEast,27.907200,01,43.379170,-70.583330,ME,,yes,0.000000,0.000000,0.000000
2000095.023284807568416,2524732.44847288262099,01072500,"SALMON FALLS RIVER NEAR SOUTH LEBANON, ME",Non-ref,NorthEast,359.815500,01,43.328108,-70.927139,ME,,,40.000000,20.000000,0.000000
1998204.166034566704184,2517318.532142974436283,01072800,"COCHECO RIVER NEAR ROCHESTER, NH.",Non-ref,NorthEast,243.954900,01,43.268415,-70.973674,NH,,yes,14.000000,14.000000,14.000000
2000525.197318461257964,2514056.747143728658557,01072870,"ISINGLASS R AT ROCHESTER NECK RD, NR DOVER, NH",Non-ref,NorthEast,191.975400,01,43.234800,-70.956450,NH,,yes,4.000000,4.000000,4.000000
2002357.324688528198749,2504591.390738707967103,01073000,"OYSTER RIVER NEAR DURHAM, NH",Ref,NorthEast,31.298400,01,43.148696,-70.965060,NH,yes,yes,74.000000,60.000000,20.000000
1987014.393384225899354,2488170.33112230990082,01073319,"LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH",Non-ref,NorthEast,144.395100,01,43.042307,-71.200618,NH,,yes,1.000000,1.000000,1.000000
2004675.652547846315429,2499882.73924694955349,01073500,"LAMPREY RIVER NEAR NEWMARKET, NH",Non-ref,NorthEast,471.137400,01,43.102586,-70.952559,NH,,yes,75.000000,60.000000,20.000000
1992513.902406602632254,2478848.480282171629369,010735562,"EXETER RIVER AT ODELL ROAD, NEAR SANDOWN, NH",Non-ref,NorthEast,42.719400,01,42.948980,-71.164780,NH,,yes,1.000000,1.000000,1.000000
2001389.00148043804802,2485340.501430090516806,01073587,"EXETER RIVER AT HAIGH ROAD, NEAR BRENTWOOD, NH",Non-ref,NorthEast,163.053000,01,42.984532,-71.038392,NH,,yes,13.000000,13.000000,13.000000
2002444.498256341321394,2486620.513882748782635,01073600,"DUDLEY BROOK NEAR EXETER, NH",Non-ref,NorthEast,16.384500,01,42.993143,-71.021725,NH,,,23.000000,23.000000,0.000000
2014763.031814819201827,2494993.378547442145646,01073785,"WINNICUT RIVER AT GREENLAND, NR PORTSMOUTH, NH",Non-ref,NorthEast,36.949500,01,43.036755,-70.848110,NH,,yes,7.000000,7.000000,7.000000
1922616.052029946353287,2587191.895582606084645,01074520,"EAST BRANCH PEMIGEWASSET RIVER AT LINCOLN, NH",Ref,NorthEast,297.188100,01,44.047567,-71.659803,NH,,yes,16.000000,16.000000,16.000000
1923107.555259413551539,2579091.596437047235668,01075000,"PEMIGEWASSET RIVER AT WOODSTOCK, NH",Non-ref,NorthEast,504.288000,01,43.976179,-71.679524,NH,,yes,46.000000,36.000000,8.000000
1911103.625046593369916,2559828.621926878578961,01075800,"STEVENS BROOK NEAR WENTWORTH, NH",Ref,NorthEast,7.674300,01,43.836181,-71.885361,NH,,,35.000000,35.000000,9.000000
1915342.799751611193642,2556254.939866286702454,01076000,"BAKER RIVER NEAR RUMNEY, NH",Non-ref,NorthEast,369.815400,01,43.795626,-71.845359,NH,,yes,57.000000,36.000000,8.000000
1928758.965141084045172,2555557.16654450725764,01076500,"PEMIGEWASSET RIVER AT PLYMOUTH, NH",Non-ref,NorthEast,1608.937000,01,43.759239,-71.685634,NH,,yes,106.000000,60.000000,20.000000
1934615.650575379375368,2550875.833694888278842,01077000,"SQUAM RIVER AT ASHLAND, NH",Non-ref,NorthEast,150.294600,01,43.705351,-71.629799,NH,,,56.000000,46.000000,6.000000
1918850.784286149311811,2546591.643790367990732,01077400,"COCKERMOUTH RIVER BELOW HARDY BROOK, AT GROTON, NH",Ref,NorthEast,56.195100,01,43.703890,-71.833330,NH,,yes,1.000000,1.000000,1.000000
1929361.007827914552763,2533481.322601784020662,01078000,"SMITH RIVER NEAR BRISTOL, NH",Ref,NorthEast,222.456600,01,43.566463,-71.747857,NH,yes,yes,91.000000,60.000000,20.000000
1945368.177343296585605,2523281.737105831503868,01081000,"WINNIPESAUKEE RIVER AT TILTON, NH",Non-ref,NorthEast,1216.967000,01,43.441744,-71.587575,NH,,yes,72.000000,60.000000,20.000000
1940815.052991719450802,2519907.351300919428468,01081500,"MERRIMACK RIVER AT FRANKLIN JUNCTION, NH",Non-ref,NorthEast,3908.064000,01,43.422854,-71.652854,NH,,yes,80.000000,37.000000,8.000000
1932579.085110334213823,2453106.264385634101927,01082000,"CONTOOCOOK RIVER AT PETERBOROUGH, NH",Non-ref,NorthEast,175.023000,01,42.862584,-71.959246,NH,,yes,40.000000,36.000000,8.000000
1929569.903816394740716,2455822.81783477589488,01083000,NUBANUSIT BK BLW MACDOWELL DAM NR PETERBOROUGH NH,Non-ref,NorthEast,116.850600,01,42.892861,-71.986747,NH,,,54.000000,40.000000,0.000000
1924948.037452484015375,2476422.443564335815609,01084000,"NORTH BRANCH RIVER NEAR ANTRIM, NH",Non-ref,NorthEast,140.081400,01,43.081746,-71.978415,NH,,,46.000000,21.000000,0.000000
1928133.330076462123543,2480995.532095246016979,01084500,"BEARD BROOK NEAR HILLSBORO, NH",Ref,NorthEast,143.807400,01,43.114246,-71.926192,NH,,,25.000000,21.000000,0.000000
1932471.503289469052106,2486479.052459647879004,01085000,"CONTOOCOOK RIVER NEAR HENNIKER, NH",Non-ref,NorthEast,950.069700,01,43.152024,-71.857301,NH,,,38.000000,28.000000,0.000000
1939933.732571507804096,2493133.47603405546397,01085500,"CONTOOCOOK R BL HOPKINTON DAM AT W HOPKINTON, NH",Non-ref,NorthEast,1099.139000,01,43.192857,-71.747299,NH,,yes,34.000000,34.000000,8.000000
1916274.800164427841082,2494656.687976280227304,01085800,"WEST BRANCH WARNER RIVER NEAR BRADFORD, NH",Ref,NorthEast,14.768100,01,43.259243,-72.025917,NH,,,42.000000,42.000000,15.000000
1939461.935353310080245,2499742.590349606238306,01086000,"WARNER RIVER AT DAVISVILLE, NH",Ref,NorthEast,381.576600,01,43.251189,-71.732300,NH,,yes,47.000000,37.000000,8.000000
1941169.820913090836257,2505542.535693045705557,01087000,"BLACKWATER RIVER NEAR WEBSTER, NH",Non-ref,NorthEast,331.850700,01,43.297578,-71.693688,NH,,,64.000000,40.000000,0.000000
1948934.455742066027597,2506262.627918375656009,01088000,"CONTOOCOOK RIVER AT PENACOOK, NH",Non-ref,NorthEast,1975.255000,01,43.286190,-71.598407,NH,,,48.000000,28.000000,0.000000
1960939.860198785783723,2503939.406939384527504,01089000,"SOUCOOK RIVER NEAR CONCORD, NH",Non-ref,NorthEast,201.075300,01,43.238692,-71.462015,NH,,,36.000000,36.000000,0.000000
1960219.779935566708446,2500861.87550107203424,01089100,"SOUCOOK RIVER, AT PEMBROKE ROAD, NEAR CONCORD, NH",Non-ref,NorthEast,214.125300,01,43.213692,-71.480348,NH,,yes,21.000000,21.000000,20.000000
1967649.462469793157652,2507800.474375541321933,01089500,"SUNCOOK RIVER AT NORTH CHICHESTER, NH",Non-ref,NorthEast,400.798800,01,43.256748,-71.369512,NH,,yes,50.000000,22.000000,1.000000
1949669.886580105870962,2483974.521310726180673,01090800,"PISCATAQUOG RIVER BL EVERETT DAM, NR E WEARE, NH",Non-ref,NorthEast,163.142100,01,43.091471,-71.659518,NH,,,26.000000,26.000000,0.000000
1953255.479689475148916,2476061.253713745623827,01091000,"SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",Ref,NorthEast,266.759100,01,43.014805,-71.641461,NH,,yes,39.000000,30.000000,1.000000
1960323.034427304985002,2478141.739764099940658,01091500,"PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",Non-ref,NorthEast,519.112800,01,43.016750,-71.550625,NH,,,39.000000,29.000000,0.000000
1969117.835724324919283,2472533.574820067733526,01092000,"MERRIMACK R NR GOFFS FALLS, BELOW MANCHESTER, NH",Non-ref,NorthEast,7987.650000,01,42.948141,-71.463400,NH,,yes,72.000000,60.000000,20.000000
1976462.220278047723696,2481154.756509403698146,01093000,"SUCKER BROOK AT AUBURN, NH",Non-ref,NorthEast,77.745600,01,43.005918,-71.348676,NH,,,32.000000,21.000000,0.000000
1942590.276171400910243,2455412.922733025625348,01093800,"STONY BROOK TRIBUTARY NEAR TEMPLE, NH",Ref,NorthEast,9.389700,01,42.860085,-71.832854,NH,,,41.000000,41.000000,15.000000
1953000.625130870379508,2456106.165675983764231,01093852,"SOUHEGAN RIVER (SITE WLR-1) NEAR MILFORD, NH",Non-ref,NorthEast,263.703600,01,42.842590,-71.706740,NH,,yes,2.000000,2.000000,2.000000
1968340.076039634877816,2461864.774534583091736,01094000,"SOUHEGAN RIVER AT MERRIMACK, NH",Non-ref,NorthEast,440.501400,01,42.857586,-71.506179,NH,,yes,75.000000,35.000000,8.000000
1954103.152935130288824,2425625.940272675827146,01094400,"NORTH NASHUA RIVER AT FITCHBURG, MA",Non-ref,NorthEast,166.160700,01,42.576201,-71.788129,MA,,yes,37.000000,37.000000,20.000000
1961381.623581191990525,2418924.145863009616733,01094500,"NORTH NASHUA RIVER NEAR LEOMINSTER, MA",Non-ref,NorthEast,279.657000,01,42.501758,-71.722571,MA,,yes,74.000000,60.000000,20.000000
1958517.998781876405701,2407682.780142464675009,01095220,"STILLWATER RIVER NEAR STERLING, MA",Non-ref,NorthEast,78.689360,01,42.410925,-71.791183,MA,,yes,15.000000,15.000000,15.000000
1956664.494074248708785,2402804.000617004930973,01095375,"QUINAPOXET RIVER AT CANADA MILLS NEAR HOLDEN, MA",Non-ref,NorthEast,115.191900,01,42.372870,-71.828128,MA,,yes,12.000000,12.000000,12.000000
1966777.814544873777777,2411946.622299726121128,01095505,"NASHUA RIVER 0.4 MI UPSTREAM RT 110 AT CLINTON, MA",Non-ref,NorthEast,322.715700,01,42.429167,-71.680278,MA,,yes,2.000000,2.000000,2.000000
1962743.545447278302163,2434589.314521027728915,01096000,"SQUANNACOOK RIVER NEAR WEST GROTON, MA",Non-ref,NorthEast,173.135700,01,42.634256,-71.657848,MA,,yes,60.000000,60.000000,20.000000
1968323.808927983976901,2439905.0665069706738,01096500,"NASHUA RIVER AT EAST PEPPERELL, MA",Non-ref,NorthEast,1125.681000,01,42.667589,-71.575068,MA,,yes,74.000000,60.000000,20.000000
1968044.273259292123839,2440345.217218229547143,01096503,"NISSITISSIT RIVER AT PEPPERELL, MA",Ref,NorthEast,155.754900,01,42.672034,-71.577013,MA,,yes,3.000000,3.000000,3.000000
1982461.438635543454438,2456962.995480446144938,010965852,"BEAVER BROOK AT NORTH PELHAM, NH",Non-ref,NorthEast,123.080400,01,42.782866,-71.353674,NH,,yes,23.000000,23.000000,20.000000
1975020.348361617652699,2395643.286999246105552,010965995,"ASSABET RIVER, MILL ROAD NEAR WESTBORO, MA",Non-ref,NorthEast,17.771400,01,42.269440,-71.633330,MA,,yes,3.000000,3.000000,3.000000
1976131.264008507831022,2409326.58485856000334,01096835,"ASSABET RIVER AT PORT ST AT HUDSON, MA",Non-ref,NorthEast,154.154700,01,42.385280,-71.577780,MA,,yes,1.000000,1.000000,1.000000
1976634.83723430079408,2410004.606697990559042,01096840,"ASSABET RIVER 200 FT BELOW RT 85 AT HUDSON, MA",Non-ref,NorthEast,163.615500,01,42.390000,-71.569720,MA,,yes,1.000000,1.000000,1.000000
1980895.371950494591147,2413631.511965776793659,01096885,"ASSABET RIVER AT SUDBURY RD NEAR STOW, MA",Non-ref,NorthEast,224.528400,01,42.411670,-71.508060,MA,,yes,1.000000,1.000000,1.000000
1984921.699351669289172,2417049.284815484657884,01097000,"ASSABET RIVER AT MAYNARD, MA",Non-ref,NorthEast,299.309400,01,42.432038,-71.449785,MA,,yes,68.000000,60.000000,20.000000
1986217.621011087438092,2426707.417537078261375,01097300,"NASHOBA BROOK NEAR ACTON, MA",Non-ref,NorthEast,30.871800,01,42.512593,-71.404228,MA,,yes,46.000000,46.000000,20.000000
1988307.830144473584369,2421050.337117611430585,01097380,"NASHOBA BROOK, COMMONWEALTH AVE AT W. CONCORD, MA",Non-ref,NorthEast,120.411900,01,42.458890,-71.397220,MA,,yes,2.000000,2.000000,2.000000
